"","logFC","logCPM","PValue","FDR"
"Pank3",-1.2735459953464,6.10260805007049,0.00202468668141631,0.246577913701058
"Gna12",-2.07851656504349,4.52177145443044,0.00213420889369674,0.257869570659657
"Foxn3",-2.12255366220516,3.11923867963016,0.00215260419428315,0.25806024500996
"Atf7",-2.42643995252948,2.92831546643732,0.00223082851519618,0.259426680435111
"Atpaf1",-0.981932148642687,2.29444695513403,0.00223345871515397,0.259426680435111
"Ube3a",-0.959659155609959,5.20010447694971,0.00226309470088245,0.259426680435111
"Cbl",-2.91692573620841,3.8477618483325,0.00226516035652265,0.259426680435111
"Pcdhga7",-2.08255169714331,0.668085954787685,0.00227668317645358,0.259426680435111
"Slc24a6",0.815668524886128,5.15108619957184,0.00228155524422031,0.259426680435111
"Pcgf3",-1.31855714782401,4.9206347998144,0.00228499023294392,0.259426680435111
"Ldlrad4",-1.16545504358753,3.48088774056245,0.00229925243005377,0.259426680435111
"Taf15",0.730883037982606,6.35642428831566,0.00232519605086548,0.260209909695715
"Rbm33",-0.828066021368751,6.10405328710495,0.00234010866979529,0.260209909695715
"Ier3",1.07735162278847,6.44640519518552,0.0023721202181365,0.261871832714422
"Zbtb20",-2.15119992618549,1.57316831914939,0.0024584668155327,0.269465523459637
"Eml3",-0.681828266268656,5.34180036522896,0.00261724928364104,0.274175509217072
"Tmem170b",-1.11145566802948,4.842623529166,0.0026432042250824,0.274175509217072
"Tmem181a",-0.830281852802117,3.56119878060524,0.00267580077348857,0.274175509217072
"Scyl2",-0.967211563748727,5.07045306032474,0.0027016247712111,0.274175509217072
"Setbp1",-1.49254200218069,4.48573226094377,0.00272366017298068,0.274175509217072
"Maff",-0.839707162338881,5.54735178161959,0.00273036430416917,0.274175509217072
"Patl1",-0.873844093484019,5.39514335563404,0.00275104858728423,0.274175509217072
"Lmbrd2",-3.06598445125448,2.69931329926892,0.00276272012267492,0.274175509217072
"Prdm11",-1.64955537249097,0.62900515546082,0.00276297396579516,0.274175509217072
"Socs4",-1.62237504314579,3.16725582602113,0.00276829267557427,0.274175509217072
"Phf16",-2.42712116766747,2.20282220773254,0.00280059527785231,0.274175509217072
"Ddi2",-1.94219243426924,3.65763426245079,0.0028023101374935,0.274175509217072
"Ttr",-9.16240982765864,-0.389207739646376,0.00286094258061658,0.274175509217072
"Ly6k",4.23763266737837,1.88622369406119,0.00287600439306351,0.274175509217072
"Rfng",0.73570485062021,5.19310514410181,0.00287778160932287,0.274175509217072
"Atf5",0.99896025785887,6.61085519101583,0.00291052030690104,0.274175509217072
"Fbxl6",0.806771543543232,5.19010933616678,0.00293024379420044,0.274175509217072
